time/episodes,rollout/success_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,curriculum/epsilon,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,time/time_elapsed,eval/clean_mean_d,eval/clean_success_rate
560,0.6100000143051147,-1.0192784070968628,-22.6,20,1.1,0.13581004738807678,0.004314233548939228,0.0003,27899,50.0,28000,-4.569703102111816,1350,,
564,0.5899999737739563,1.5906254053115845,-23.47,20,1.1,0.14897558093070984,0.004294433631002903,0.0003,28099,50.0,28200,-4.594080924987793,1362,,
568,0.6000000238418579,-2.2840096950531006,-22.98,20,1.1,0.1526622772216797,0.004298352636396885,0.0003,28299,50.0,28400,-4.641068458557129,1371,,
572,0.6000000238418579,2.6594443321228027,-22.58,20,1.1,0.1350836455821991,0.004242865834385157,0.0003,28499,50.0,28600,-4.521113395690918,1381,,
576,0.5899999737739563,-0.3692586123943329,-23.26,20,1.1,0.14518989622592926,0.004312945995479822,0.0003,28699,50.0,28800,-4.6575422286987305,1390,,
580,0.5899999737739563,-2.3080897331237793,-23.48,20,1.1,0.18650555610656738,0.004177445080131292,0.0003,28899,50.0,29000,-4.444829940795898,1400,,
584,0.5899999737739563,0.9304510354995728,-22.91,20,1.1,0.17764806747436523,0.004102674778550863,0.0003,29099,50.0,29200,-4.490267753601074,1410,,
588,0.5899999737739563,3.3544318675994873,-22.85,20,1.1,0.16527915000915527,0.004134223330765963,0.0003,29299,50.0,29400,-4.029172897338867,1419,,
592,0.5899999737739563,-0.18788686394691467,-22.94,20,1.1,0.15948379039764404,0.0041597578674554825,0.0003,29499,50.0,29600,-4.534608840942383,1429,,
596,0.5899999737739563,1.3422703742980957,-23.01,20,1.1,0.1832418441772461,0.004167465027421713,0.0003,29699,50.0,29800,-4.176649570465088,1438,,
600,0.6100000143051147,1.915331244468689,-22.23,20,1.1,0.15454332530498505,0.004157196264714003,0.0003,29899,50.0,30000,-4.062191486358643,1452,0.01391143139645985,1.0
604,0.6100000143051147,1.6931817531585693,-22.26,20,1.1,0.1586671620607376,0.004191108047962189,0.0003,30099,50.0,30200,-4.103253364562988,1461,,
608,0.6100000143051147,-0.8377829790115356,-22.43,20,1.1,0.21127982437610626,0.004324562847614288,0.0003,30299,50.0,30400,-4.319147109985352,1471,,
612,0.6200000047683716,-1.3171519041061401,-21.65,20,1.1,0.17282775044441223,0.004216921515762806,0.0003,30499,50.0,30600,-4.167718887329102,1481,,
616,0.6299999952316284,0.05130112171173096,-21.27,20,1.1,0.1747846007347107,0.004198497161269188,0.0003,30699,50.0,30800,-4.594805717468262,1490,,
620,0.6399999856948853,0.5038725137710571,-20.89,20,1.1,0.13910092413425446,0.0042010704055428505,0.0003,30899,50.0,31000,-4.087259292602539,1500,,
624,0.6600000262260437,1.7713853120803833,-19.99,20,1.1,0.18694743514060974,0.004110722802579403,0.0003,31099,50.0,31200,-4.0983710289001465,1509,,
628,0.6600000262260437,-0.3369259536266327,-19.74,20,1.1,0.17149916291236877,0.00398753909394145,0.0003,31299,50.0,31400,-4.210841178894043,1519,,
632,0.6700000166893005,1.5976072549819946,-19.18,20,1.1,0.15679815411567688,0.003948112018406391,0.0003,31499,50.0,31600,-4.190711498260498,1528,,
636,0.6800000071525574,-0.9567155838012695,-18.69,20,1.1,0.15656541287899017,0.003974488470703363,0.0003,31699,50.0,31800,-4.357455730438232,1538,,
640,0.6899999976158142,0.002518177032470703,-18.62,20,1.1,0.15002167224884033,0.003935336600989103,0.0003,31899,50.0,32000,-4.340851306915283,1548,,
644,0.7099999785423279,-1.2270358800888062,-17.76,20,1.1,0.19159597158432007,0.0040008025243878365,0.0003,32099,50.0,32200,-4.350280284881592,1557,,
648,0.6899999976158142,-3.307628631591797,-18.08,20,1.1,0.195855513215065,0.003815538017079234,0.0003,32299,50.0,32400,-4.161506175994873,1567,,
652,0.6899999976158142,-1.3184404373168945,-17.82,20,1.1,0.24773761630058289,0.0036947866901755333,0.0003,32499,50.0,32600,-4.081234455108643,1576,,
656,0.7099999785423279,3.4857304096221924,-17.36,20,1.1,0.17989543080329895,0.0036775225307792425,0.0003,32699,50.0,32800,-3.932191848754883,1586,,
