train/actor_loss,train/ent_coef_loss,train/n_updates,time/episodes,time/fps,train/ent_coef,time/total_timesteps,curriculum/epsilon,rollout/success_rate,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,eval/clean_success_rate,eval/clean_mean_d
-2.0814168453216553,-0.8901753425598145,24099,484,15,0.0067235203459858894,24200,0.323994,1.0,-2.32,0.05329003557562828,0.0003,50.0,1549,,
-2.1378841400146484,-0.352836012840271,24299,488,15,0.0067207831889390945,24400,0.32839399999999996,1.0,-2.25,0.05996173247694969,0.0003,50.0,1562,,
-2.1862010955810547,-0.44531071186065674,24499,492,15,0.006605156697332859,24600,0.332794,1.0,-2.22,0.061179112643003464,0.0003,50.0,1575,,
-2.3885817527770996,-0.9988064765930176,24699,496,15,0.006469206418842077,24800,0.337194,1.0,-2.21,0.058102626353502274,0.0003,50.0,1588,,
-2.049964427947998,-1.3465114831924438,24899,500,15,0.006375045049935579,25000,0.341594,1.0,-2.16,0.05926080048084259,0.0003,50.0,1604,1.0,0.02569033617609422
-2.0773797035217285,-0.9730664491653442,25099,504,15,0.006314452271908522,25200,0.34599399999999997,1.0,-2.18,0.055589716881513596,0.0003,50.0,1617,,
-2.151939630508423,-0.9753947257995605,25299,508,15,0.006251361686736345,25400,0.350394,1.0,-2.17,0.05266553908586502,0.0003,50.0,1630,,
-2.227869749069214,0.09450338780879974,25499,512,15,0.006132513750344515,25600,0.354794,1.0,-2.19,0.06437917053699493,0.0003,50.0,1643,,
-2.0449750423431396,2.7581372261047363,25699,516,15,0.0060244048945605755,25800,0.359194,1.0,-2.21,0.046320803463459015,0.0003,50.0,1655,,
-2.2765769958496094,-0.28416499495506287,25899,520,15,0.005992048420011997,26000,0.363594,0.9900000095367432,-2.21,0.0534176304936409,0.0003,50.0,1668,,
-2.4586706161499023,-1.206539273262024,26099,524,15,0.005898171570152044,26200,0.367994,0.9900000095367432,-2.2,0.04854819178581238,0.0003,50.0,1681,,
-1.9971044063568115,0.49854719638824463,26299,528,15,0.005751411896198988,26400,0.372394,0.9900000095367432,-2.16,0.04837661609053612,0.0003,50.0,1693,,
